"sex","s_broad_annotation","cells","tissue"
"female","epithelial cell",2765,"antenna"
"female","glial cell",874,"antenna"
"female","hemocyte",19,"antenna"
"female","muscle cell",155,"antenna"
"female","neuron",125,"antenna"
"female","sensory neuron",3776,"antenna"
"female","unannotated",4762,"antenna"
"male","epithelial cell",2872,"antenna"
"male","glial cell",935,"antenna"
"male","hemocyte",16,"antenna"
"male","muscle cell",95,"antenna"
"male","neuron",137,"antenna"
"male","sensory neuron",4183,"antenna"
"male","unannotated",5200,"antenna"
"female","epithelial cell",319,"malpighian_tubule"
"female","excretory system",3064,"malpighian_tubule"
"female","fat cell",25,"malpighian_tubule"
"female","gland",499,"malpighian_tubule"
"female","muscle cell",16,"malpighian_tubule"
"female","oenocyte",3,"malpighian_tubule"
"female","somatic precursor cell",1594,"malpighian_tubule"
"female","tracheolar cell",89,"malpighian_tubule"
"female","unannotated",269,"malpighian_tubule"
"male","epithelial cell",148,"malpighian_tubule"
"male","excretory system",3755,"malpighian_tubule"
"male","fat cell",34,"malpighian_tubule"
"male","gland",359,"malpighian_tubule"
"male","muscle cell",11,"malpighian_tubule"
"male","oenocyte",13,"malpighian_tubule"
"male","somatic precursor cell",629,"malpighian_tubule"
"male","tracheolar cell",10,"malpighian_tubule"
"male","unannotated",142,"malpighian_tubule"
"female","epithelial cell",2277,"body_wall"
"female","fat cell",94,"body_wall"
"female","gland",1,"body_wall"
"female","glial cell",57,"body_wall"
"female","hemocyte",342,"body_wall"
"female","muscle cell",2846,"body_wall"
"female","neuron",201,"body_wall"
"female","oenocyte",152,"body_wall"
"female","tracheolar cell",145,"body_wall"
"female","unannotated",374,"body_wall"
"male","epithelial cell",1076,"body_wall"
"male","fat cell",371,"body_wall"
"male","gland",2,"body_wall"
"male","glial cell",63,"body_wall"
"male","hemocyte",112,"body_wall"
"male","muscle cell",2810,"body_wall"
"male","neuron",314,"body_wall"
"male","oenocyte",309,"body_wall"
"male","tracheolar cell",155,"body_wall"
"male","unannotated",339,"body_wall"
"female","epithelial cell",358,"oenocyte"
"female","fat cell",695,"oenocyte"
"female","hemocyte",114,"oenocyte"
"female","muscle cell",637,"oenocyte"
"female","neuron",70,"oenocyte"
"female","oenocyte",813,"oenocyte"
"female","tracheolar cell",113,"oenocyte"
"female","unannotated",767,"oenocyte"
"male","epithelial cell",416,"oenocyte"
"male","fat cell",1121,"oenocyte"
"male","hemocyte",21,"oenocyte"
"male","muscle cell",1915,"oenocyte"
"male","neuron",67,"oenocyte"
"male","oenocyte",1915,"oenocyte"
"male","tracheolar cell",66,"oenocyte"
"male","unannotated",1214,"oenocyte"
"female","epithelial cell",197,"fat_body"
"female","fat cell",8295,"fat_body"
"female","hemocyte",1555,"fat_body"
"female","muscle cell",307,"fat_body"
"female","neuron",5,"fat_body"
"female","oenocyte",215,"fat_body"
"female","sensory neuron",24,"fat_body"
"female","unannotated",1077,"fat_body"
"male","epithelial cell",491,"fat_body"
"male","fat cell",5418,"fat_body"
"male","hemocyte",1742,"fat_body"
"male","muscle cell",296,"fat_body"
"male","neuron",199,"fat_body"
"male","oenocyte",178,"fat_body"
"male","sensory neuron",22,"fat_body"
"male","unannotated",445,"fat_body"
"female","epithelial cell",4501,"gut"
"female","excretory system",5,"gut"
"female","muscle cell",404,"gut"
"female","somatic precursor cell",293,"gut"
"female","unannotated",151,"gut"
"male","epithelial cell",2645,"gut"
"male","excretory system",21,"gut"
"male","fat cell",3,"gut"
"male","muscle cell",122,"gut"
"male","somatic precursor cell",328,"gut"
"male","unannotated",197,"gut"
"female","epithelial cell",7084,"proboscis_and_maxillary_palps"
"female","fat cell",123,"proboscis_and_maxillary_palps"
"female","glial cell",194,"proboscis_and_maxillary_palps"
"female","hemocyte",99,"proboscis_and_maxillary_palps"
"female","muscle cell",2690,"proboscis_and_maxillary_palps"
"female","neuron",109,"proboscis_and_maxillary_palps"
"female","sensory neuron",921,"proboscis_and_maxillary_palps"
"female","tracheolar cell",84,"proboscis_and_maxillary_palps"
"female","unannotated",161,"proboscis_and_maxillary_palps"
"male","epithelial cell",6359,"proboscis_and_maxillary_palps"
"male","fat cell",86,"proboscis_and_maxillary_palps"
"male","glial cell",372,"proboscis_and_maxillary_palps"
"male","hemocyte",63,"proboscis_and_maxillary_palps"
"male","muscle cell",1217,"proboscis_and_maxillary_palps"
"male","neuron",1975,"proboscis_and_maxillary_palps"
"male","sensory neuron",1453,"proboscis_and_maxillary_palps"
"male","tracheolar cell",170,"proboscis_and_maxillary_palps"
"male","unannotated",394,"proboscis_and_maxillary_palps"
"female","epithelial cell",1811,"haltere"
"female","fat cell",77,"haltere"
"female","glial cell",84,"haltere"
"female","hemocyte",166,"haltere"
"female","muscle cell",20,"haltere"
"female","neuron",121,"haltere"
"female","sensory neuron",245,"haltere"
"female","unannotated",276,"haltere"
"male","epithelial cell",1502,"haltere"
"male","fat cell",154,"haltere"
"male","glial cell",52,"haltere"
"male","hemocyte",116,"haltere"
"male","muscle cell",14,"haltere"
"male","neuron",62,"haltere"
"male","sensory neuron",312,"haltere"
"male","unannotated",474,"haltere"
"female","cardial cell",67,"heart"
"female","epithelial cell",573,"heart"
"female","excretory system",176,"heart"
"female","fat cell",157,"heart"
"female","gland",5,"heart"
"female","hemocyte",635,"heart"
"female","muscle cell",249,"heart"
"female","neuron",176,"heart"
"female","oenocyte",449,"heart"
"female","tracheolar cell",55,"heart"
"female","unannotated",710,"heart"
"male","cardial cell",60,"heart"
"male","epithelial cell",1048,"heart"
"male","excretory system",279,"heart"
"male","fat cell",520,"heart"
"male","gland",2,"heart"
"male","hemocyte",323,"heart"
"male","muscle cell",424,"heart"
"male","neuron",115,"heart"
"male","oenocyte",449,"heart"
"male","tracheolar cell",69,"heart"
"male","unannotated",589,"heart"
"female","fat cell",17,"trachea"
"female","muscle cell",93,"trachea"
"female","neuron",200,"trachea"
"female","sensory neuron",17,"trachea"
"female","tracheolar cell",3451,"trachea"
"female","unannotated",1278,"trachea"
"male","fat cell",28,"trachea"
"male","muscle cell",90,"trachea"
"male","neuron",203,"trachea"
"male","sensory neuron",16,"trachea"
"male","tracheolar cell",3863,"trachea"
"male","unannotated",1490,"trachea"
"female","epithelial cell",2482,"leg"
"female","glial cell",226,"leg"
"female","hemocyte",141,"leg"
"female","muscle cell",2281,"leg"
"female","sensory neuron",599,"leg"
"female","tracheolar cell",52,"leg"
"female","unannotated",622,"leg"
"male","epithelial cell",2203,"leg"
"male","glial cell",194,"leg"
"male","hemocyte",66,"leg"
"male","muscle cell",2658,"leg"
"male","sensory neuron",719,"leg"
"male","tracheolar cell",42,"leg"
"male","unannotated",400,"leg"
"female","glial cell",217,"wing"
"female","hemocyte",83,"wing"
"female","muscle cell",19,"wing"
"female","sensory neuron",930,"wing"
"female","unannotated",5321,"wing"
"male","glial cell",355,"wing"
"male","hemocyte",70,"wing"
"male","muscle cell",112,"wing"
"male","sensory neuron",1636,"wing"
"male","unannotated",4840,"wing"
"female","epithelial cell",2206,"head"
"female","fat cell",148,"head"
"female","glial cell",2646,"head"
"female","hemocyte",164,"head"
"female","muscle cell",663,"head"
"female","neuron",10986,"head"
"female","sensory neuron",6771,"head"
"female","unannotated",14222,"head"
"male","epithelial cell",1826,"head"
"male","fat cell",117,"head"
"male","glial cell",2551,"head"
"male","hemocyte",89,"head"
"male","muscle cell",517,"head"
"male","neuron",10255,"head"
"male","sensory neuron",7059,"head"
"male","unannotated",14697,"head"
"female","epithelial cell",13859,"body"
"female","fat cell",620,"body"
"female","glial cell",1228,"body"
"female","hemocyte",326,"body"
"female","muscle cell",21018,"body"
"female","neuron",5293,"body"
"female","oenocyte",311,"body"
"female","sensory neuron",529,"body"
"female","tracheolar cell",712,"body"
"female","unannotated",2896,"body"
"male","epithelial cell",8642,"body"
"male","fat cell",804,"body"
"male","glial cell",1759,"body"
"male","hemocyte",211,"body"
"male","muscle cell",8865,"body"
"male","neuron",4526,"body"
"male","oenocyte",324,"body"
"male","sensory neuron",518,"body"
"male","tracheolar cell",497,"body"
"male","unannotated",2054,"body"
